external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},"{'href': None, 'total': 89419924}","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9', 'width': 160}]",Drake,93,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
{'spotify': 'https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i'},"{'href': None, 'total': 17157752}","['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i,1RyvyyTE3xzB2ZywiAwp0i,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6ef89e23678018c6d8630825', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746ef89e23678018c6d8630825', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786ef89e23678018c6d8630825', 'width': 160}]",Future,90,artist,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
{'spotify': 'https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx'},"{'href': None, 'total': 4848678}","['pluggnb', 'rage rap']",https://api.spotify.com/v1/artists/3qiHUAX7zY4Qnjx8TNUzVx,3qiHUAX7zY4Qnjx8TNUzVx,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb98958f3c9a841fcc34dd64aa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517498958f3c9a841fcc34dd64aa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17898958f3c9a841fcc34dd64aa', 'width': 160}]",Yeat,81,artist,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx
{'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'},"{'href': None, 'total': 29648507}","['rap', 'slap house']",https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819c2790744c792d05570bb71', 'width': 160}]",Travis Scott,91,artist,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
{'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'},"{'href': None, 'total': 18637684}","['atl hip hop', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744f8f76117470957c0e81e5b2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784f8f76117470957c0e81e5b2', 'width': 160}]",21 Savage,87,artist,spotify:artist:1URnnhqYAYcrqrcwql10ft
{'spotify': 'https://open.spotify.com/artist/7eKkW1zo5uzW8kUntiiBvz'},"{'href': None, 'total': 221409}",[],https://api.spotify.com/v1/artists/7eKkW1zo5uzW8kUntiiBvz,7eKkW1zo5uzW8kUntiiBvz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3905fea66463e27b323ac898', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743905fea66463e27b323ac898', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783905fea66463e27b323ac898', 'width': 160}]",Malcolm Todd,58,artist,spotify:artist:7eKkW1zo5uzW8kUntiiBvz
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 25458164}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786e835a500e791bf9c27a422a', 'width': 160}]",Kanye West,90,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
{'spotify': 'https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH'},"{'href': None, 'total': 331788}",['pop rap'],https://api.spotify.com/v1/artists/3y2cIKLjiOlp1Np37WiUdH,3y2cIKLjiOlp1Np37WiUdH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517489447fe120bae042c52fad07', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17889447fe120bae042c52fad07', 'width': 160}]",Shaboozey,79,artist,spotify:artist:3y2cIKLjiOlp1Np37WiUdH
{'spotify': 'https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I'},"{'href': None, 'total': 8199460}","['melodic rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I,31W5EY0aAly4Qieq6OFu6I,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebebe9d9f649d6ef85497f71af', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ebe9d9f649d6ef85497f71af', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ebe9d9f649d6ef85497f71af', 'width': 160}]",A Boogie Wit da Hoodie,79,artist,spotify:artist:31W5EY0aAly4Qieq6OFu6I
{'spotify': 'https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz'},"{'href': None, 'total': 17154147}","['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz,4O15NlyKLIASxsJ0PrXPfz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1234d2f516796badbdf16a89', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741234d2f516796badbdf16a89', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781234d2f516796badbdf16a89', 'width': 160}]",Lil Uzi Vert,82,artist,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
